"table_name","column_name","vocabulary_label","term_rank","term_value","n_rows","n_studies"
"study_attributes","attribute_name","annotation term",18,"Preschool_school_work",22,22
"study_populations","newborn","newborn inclusion flag",1,"0",937,447
"study_populations","newborn","newborn inclusion flag",2,"1",61,41
"study_populations","twins","twin inclusion flag",1,"0",988,447
"study_populations","twins","twin inclusion flag",2,"1",10,9
"population_countries","country_iso","population country coverage",1,"CAN",527,236
"population_countries","country_iso","population country coverage",2,"USA",146,65
"population_countries","country_iso","population country coverage",3,"SWE",102,50
"population_countries","country_iso","population country coverage",4,"DEU",43,15
"population_countries","country_iso","population country coverage",5,"GBR",40,26
"population_countries","country_iso","population country coverage",6,"CHE",29,13
"population_countries","country_iso","population country coverage",7,"NLD",21,12
"population_countries","country_iso","population country coverage",8,"IND",15,4
"population_countries","country_iso","population country coverage",9,"AUS",14,9
"population_countries","country_iso","population country coverage",10,"CHN",14,7
"population_countries","country_iso","population country coverage",11,"ESP",12,8
"population_countries","country_iso","population country coverage",12,"FIN",10,6
"population_countries","country_iso","population country coverage",13,"JPN",10,5
"population_countries","country_iso","population country coverage",14,"DNK",9,7
"population_countries","country_iso","population country coverage",15,"GRC",8,6
"population_countries","country_iso","population country coverage",16,"FRA",7,6
"population_countries","country_iso","population country coverage",17,"ITA",7,7
"population_countries","country_iso","population country coverage",18,"ZAF",7,2
"population_countries","country_iso","population country coverage",19,"POL",6,4
"population_countries","country_iso","population country coverage",20,"BRA",5,3
"population_countries","country_iso","population country coverage",21,"EST",5,3
"population_countries","country_iso","population country coverage",22,"ISR",5,3
"population_countries","country_iso","population country coverage",23,"NOR",5,3
"population_countries","country_iso","population country coverage",24,"BEL",4,2
"population_countries","country_iso","population country coverage",25,"HRV",4,2
"population_countries","country_iso","population country coverage",26,"HUN",4,2
"population_countries","country_iso","population country coverage",27,"IRL",4,3
"population_countries","country_iso","population country coverage",28,"MEX",4,3
"population_countries","country_iso","population country coverage",29,"ARG",3,1
"population_countries","country_iso","population country coverage",30,"CHL",3,1
"population_countries","country_iso","population country coverage",31,"EGY",3,1
"population_countries","country_iso","population country coverage",32,"JAM",3,1
"population_countries","country_iso","population country coverage",33,"JOR",3,1
"population_countries","country_iso","population country coverage",34,"OMN",3,1
"population_countries","country_iso","population country coverage",35,"QAT",3,1
"population_countries","country_iso","population country coverage",36,"ROU",3,1
"population_countries","country_iso","population country coverage",37,"SRB",3,1
"population_countries","country_iso","population country coverage",38,"URY",3,1
"population_countries","country_iso","population country coverage",39,"CAF",2,1
"population_countries","country_iso","population country coverage",40,"COG",2,1
"population_countries","country_iso","population country coverage",41,"CZE",2,2
"population_countries","country_iso","population country coverage",42,"ISL",2,2
"population_countries","country_iso","population country coverage",43,"NZL",2,2
"population_countries","country_iso","population country coverage",44,"PER",2,1
"population_countries","country_iso","population country coverage",45,"RUS",2,2
"population_countries","country_iso","population country coverage",46,"ALB",1,1
"population_countries","country_iso","population country coverage",47,"AUT",1,1
"population_countries","country_iso","population country coverage",48,"COL",1,1
"population_countries","country_iso","population country coverage",49,"CUB",1,1
"population_countries","country_iso","population country coverage",50,"DOM",1,1
"population_countries","country_iso","population country coverage",51,"GHA",1,1
"population_countries","country_iso","population country coverage",52,"IDN",1,1
"population_countries","country_iso","population country coverage",53,"KOR",1,1
"population_countries","country_iso","population country coverage",54,"LTU",1,1
"population_countries","country_iso","population country coverage",55,"LUX",1,1
"population_countries","country_iso","population country coverage",56,"PHL",1,1
"population_countries","country_iso","population country coverage",57,"PRI",1,1
"population_countries","country_iso","population country coverage",58,"PRT",1,1
"population_countries","country_iso","population country coverage",59,"SVN",1,1
"population_countries","country_iso","population country coverage",60,"TWN",1,1
"population_countries","country_iso","population country coverage",61,"VEN",1,1
"population_recruitment_terms","term_group","recruitment term family",1,"data_sources",1083,452
"population_recruitment_terms","term_group","recruitment term family",2,"general_population_sources",508,255
"population_recruitment_terms","term_group","recruitment term family",3,"specific_population_sources",460,228
"population_recruitment_terms","term_value","recruitment term",1,"general_population",486,262
"population_recruitment_terms","term_value","recruitment term",2,"specific_population",461,230
"population_recruitment_terms","term_value","recruitment term",3,"selected_samples",286,160
"population_recruitment_terms","term_value","recruitment term",4,"other",242,127
"population_recruitment_terms","term_value","recruitment term",5,"clinic_patients",221,125
"population_recruitment_terms","term_value","recruitment term",6,"volunteer",198,104
"population_recruitment_terms","term_value","recruitment term",7,"exist_studies",107,54
"population_recruitment_terms","term_value","recruitment term",8,"specific_association",26,19
"population_recruitment_terms","term_value","recruitment term",9,"random",24,19
"dce_data_sources","data_source_code","event data-source taxonomy",1,"questionnaires",5493,383
"dce_data_sources","data_source_code","event data-source taxonomy",2,"biological_samples",3048,308
"dce_data_sources","data_source_code","event data-source taxonomy",3,"physical_measures",2172,258
"dce_data_sources","data_source_code","event data-source taxonomy",4,"cognitive_measures",1275,161
"dce_data_sources","data_source_code","event data-source taxonomy",5,"administratives_databases",1257,173
"dce_data_sources","data_source_code","event data-source taxonomy",6,"others",1102,177
"dce_biosamples","biosample_code","event biosample taxonomy",1,"blood",2575,288
"dce_biosamples","biosample_code","event biosample taxonomy",2,"saliva",633,77
"dce_biosamples","biosample_code","event biosample taxonomy",3,"urine",580,86
"dce_biosamples","biosample_code","event biosample taxonomy",4,"others",465,69
"dce_biosamples","biosample_code","event biosample taxonomy",5,"hair",96,20
"dce_biosamples","biosample_code","event biosample taxonomy",6,"nail",91,11
"dce_biosamples","biosample_code","event biosample taxonomy",7,"buccal_cells",69,18
"dce_biosamples","biosample_code","event biosample taxonomy",8,"tissues",44,22
"dce_biosamples","biosample_code","event biosample taxonomy",9,"cord_blood",32,19
